department_ascii,election_year,poll_date,margin_pp_poll,candidate_a_name,candidate_b_name,pollster_id,sample_size,source,source_url,notes
Asuncion,2013,2013-03-24,22.9,Horacio Cartes,Efraín Alegre,GRAU,,"Última Hora, Adolfino Aquino (Apr 14 2013): Cartes aumenta ventaja sobre Alegre en la encuesta de Grau & Asociados (reporting prior Mar 24 2013 wave)",https://www.ultimahora.com/cartes-aumenta-ventaja-alegre-la-encuesta-grau-asociados-n613847.html,prior_wave_reported_in_2013-04-14_article
Central,2013,2013-03-24,12.3,Horacio Cartes,Efraín Alegre,GRAU,,"Última Hora, Adolfino Aquino (Apr 14 2013): Cartes aumenta ventaja sobre Alegre en la encuesta de Grau & Asociados (reporting prior Mar 24 2013 wave)",https://www.ultimahora.com/cartes-aumenta-ventaja-alegre-la-encuesta-grau-asociados-n613847.html,regional_breakdown_only; source groups Región Central = Central+Cordillera; prior wave
Cordillera,2013,2013-03-24,12.3,Horacio Cartes,Efraín Alegre,GRAU,,"Última Hora, Adolfino Aquino (Apr 14 2013): Cartes aumenta ventaja sobre Alegre en la encuesta de Grau & Asociados (reporting prior Mar 24 2013 wave)",https://www.ultimahora.com/cartes-aumenta-ventaja-alegre-la-encuesta-grau-asociados-n613847.html,regional_breakdown_only; source groups Región Central = Central+Cordillera; prior wave
Paraguari,2013,2013-03-24,10.0,Horacio Cartes,Efraín Alegre,GRAU,,"Última Hora, Adolfino Aquino (Apr 14 2013): Cartes aumenta ventaja sobre Alegre en la encuesta de Grau & Asociados (reporting prior Mar 24 2013 wave)",https://www.ultimahora.com/cartes-aumenta-ventaja-alegre-la-encuesta-grau-asociados-n613847.html,regional_breakdown_only; source groups Región Centro = Paraguari+Guaira+Caazapa; prior wave
Guaira,2013,2013-03-24,10.0,Horacio Cartes,Efraín Alegre,GRAU,,"Última Hora, Adolfino Aquino (Apr 14 2013): Cartes aumenta ventaja sobre Alegre en la encuesta de Grau & Asociados (reporting prior Mar 24 2013 wave)",https://www.ultimahora.com/cartes-aumenta-ventaja-alegre-la-encuesta-grau-asociados-n613847.html,regional_breakdown_only; source groups Región Centro = Paraguari+Guaira+Caazapa; prior wave
Caazapa,2013,2013-03-24,10.0,Horacio Cartes,Efraín Alegre,GRAU,,"Última Hora, Adolfino Aquino (Apr 14 2013): Cartes aumenta ventaja sobre Alegre en la encuesta de Grau & Asociados (reporting prior Mar 24 2013 wave)",https://www.ultimahora.com/cartes-aumenta-ventaja-alegre-la-encuesta-grau-asociados-n613847.html,regional_breakdown_only; source groups Región Centro = Paraguari+Guaira+Caazapa; prior wave
Asuncion,2013,2013-04-14,22.0,Horacio Cartes,Efraín Alegre,GRAU,,"Última Hora, Adolfino Aquino (Apr 14 2013): Cartes aumenta ventaja sobre Alegre en la encuesta de Grau & Asociados",https://www.ultimahora.com/cartes-aumenta-ventaja-alegre-la-encuesta-grau-asociados-n613847.html,
Central,2013,2013-04-14,9.1,Horacio Cartes,Efraín Alegre,GRAU,,"Última Hora, Adolfino Aquino (Apr 14 2013): Cartes aumenta ventaja sobre Alegre en la encuesta de Grau & Asociados",https://www.ultimahora.com/cartes-aumenta-ventaja-alegre-la-encuesta-grau-asociados-n613847.html,regional_breakdown_only; source groups Región Central = Central+Cordillera
Cordillera,2013,2013-04-14,9.1,Horacio Cartes,Efraín Alegre,GRAU,,"Última Hora, Adolfino Aquino (Apr 14 2013): Cartes aumenta ventaja sobre Alegre en la encuesta de Grau & Asociados",https://www.ultimahora.com/cartes-aumenta-ventaja-alegre-la-encuesta-grau-asociados-n613847.html,regional_breakdown_only; source groups Región Central = Central+Cordillera
Paraguari,2013,2013-04-14,22.3,Horacio Cartes,Efraín Alegre,GRAU,,"Última Hora, Adolfino Aquino (Apr 14 2013): Cartes aumenta ventaja sobre Alegre en la encuesta de Grau & Asociados",https://www.ultimahora.com/cartes-aumenta-ventaja-alegre-la-encuesta-grau-asociados-n613847.html,regional_breakdown_only; source groups Región Centro = Paraguari+Guaira+Caazapa
