department_ascii,department_native,abdo_anr_votes,alegre_ganar_votes,valid_votes,total_votes_cast,source_file
Asuncion,0-CAPITAL,146392,88674,276137,285407,PortalGuarani-TSJE-2013-final
Concepcion,1-CONCEPCION,32577,30034,70657,76439,PortalGuarani-TSJE-2013-final
San Pedro,2-SAN PEDRO,57552,51460,124581,136118,PortalGuarani-TSJE-2013-final
Cordillera,3-CORDILLERA,55252,56663,119456,126125,PortalGuarani-TSJE-2013-final
Guaira,4-GUAIRA,38980,35045,81444,86830,PortalGuarani-TSJE-2013-final
Caaguazu,5-CAAGUAZU,75210,68430,165275,176969,PortalGuarani-TSJE-2013-final
Caazapa,6-CAAZAPA,26080,19094,54638,59050,PortalGuarani-TSJE-2013-final
Itapua,7-ITAPUA,85117,57573,173368,185611,PortalGuarani-TSJE-2013-final
Misiones,8-MISIONES,27657,20286,52085,55243,PortalGuarani-TSJE-2013-final
Paraguari,9-PARAGUARI,54369,37924,98922,105277,PortalGuarani-TSJE-2013-final
Alto Parana,10-ALTO PARANA,118332,79664,228644,240673,PortalGuarani-TSJE-2013-final
Central,11-CENTRAL,283217,273506,628991,654158,PortalGuarani-TSJE-2013-final
Neembucu,12-ÑEEMBUCU,19471,13250,37712,40882,PortalGuarani-TSJE-2013-final
Amambay,13-AMAMBAY,24041,16502,47160,52177,PortalGuarani-TSJE-2013-final
Canindeyu,14-CANINDEYU,27269,18497,53767,58164,PortalGuarani-TSJE-2013-final
Presidente Hayes,15-PDTE. HAYES,16323,13394,34645,37640,PortalGuarani-TSJE-2013-final
Alto Paraguay,16-ALTO PARAGUAY,3549,2232,6402,7128,PortalGuarani-TSJE-2013-final
Boqueron,17-BOQUERON,9445,3817,15348,16533,PortalGuarani-TSJE-2013-final
Exterior,18-EXTERIOR,3336,3406,8502,9013,PortalGuarani-TSJE-2013-final
