department_ascii,department_native,abdo_anr_votes,alegre_ganar_votes,valid_votes,total_votes_cast,source_file
Asuncion,0-CAPITAL,149510,91083,240593,275991,Resultados-por-mesa-2018.csv
Concepcion,1-CONCEPCION,36277,40393,76670,87964,Resultados-por-mesa-2018.csv
San Pedro,2-SAN PEDRO,57665,56588,114253,142775,Resultados-por-mesa-2018.csv
Cordillera,3-CORDILLERA,59113,60703,119816,130240,Resultados-por-mesa-2018.csv
Guaira,4-GUAIRA,43198,36835,80033,85779,Resultados-por-mesa-2018.csv
Caaguazu,5-CAAGUAZU,89650,89232,178882,191969,Resultados-por-mesa-2018.csv
Caazapa,6-CAAZAPA,34667,25060,59727,63566,Resultados-por-mesa-2018.csv
Itapua,7-ITAPUA,91917,87879,179796,197420,Resultados-por-mesa-2018.csv
Misiones,8-MISIONES,32111,25470,57581,61203,Resultados-por-mesa-2018.csv
Paraguari,9-PARAGUARI,57082,41173,98255,107092,Resultados-por-mesa-2018.csv
Alto Parana,10-ALTO PARANA,121760,129645,251405,281945,Resultados-por-mesa-2018.csv
Central,11-CENTRAL,306305,327926,634231,714477,Resultados-por-mesa-2018.csv
Neembucu,12-ÑEEMBUCU,24545,15754,40299,43784,Resultados-por-mesa-2018.csv
Amambay,13-AMAMBAY,30289,26284,56573,65665,Resultados-por-mesa-2018.csv
Canindeyu,14-CANINDEYU,33617,28617,62234,68979,Resultados-por-mesa-2018.csv
Presidente Hayes,15-PDTE. HAYES,19258,15832,35090,42062,Resultados-por-mesa-2018.csv
Alto Paraguay,16-ALTO PARAGUAY,4567,2921,7488,8606,Resultados-por-mesa-2018.csv
Boqueron,17-BOQUERON,11687,4625,16312,20129,Resultados-por-mesa-2018.csv
Exterior,18-EXTERIOR,2849,4444,7293,8343,Resultados-por-mesa-2018.csv
