model,fold,n_rows,n_eff_weight,rmse,mae,weighted_mad,department,swing_2018,m_pp,sigma_national_pp,sigma_idio_pp,sigma_dept_pp,mu_dept_pp,z,P_recomputed,P_exported,dz_dm,dz_dsigma_dept,saturated_z_gt_3,statistic,value,true_mad_improvement_pp,power,type_ii_error
linear,train_2013,20.0,9.0,27.01638558236421,23.569933220456303,29.585684452473224,,,,,,,,,,,,,,,,,,
linear,holdout_2018,5.0,5.0,21.977109609855237,18.541691516971145,22.104098643711833,,,,,,,,,,,,,,,,,,
linear_intercept,train_2013,20.0,9.0,5.6376568354604855,4.476864255574924,5.772164197645122,,,,,,,,,,,,,,,,,,
linear_intercept,holdout_2018,5.0,5.0,22.172062886091588,19.09209981301375,29.302929214856412,,,,,,,,,,,,,,,,,,
quadratic_swing,train_2013,20.0,9.0,9.015483536343663,6.891687798277969,6.335345948137781,,,,,,,,,,,,,,,,,,
quadratic_swing,holdout_2018,5.0,5.0,24.378833222608897,20.741757633749284,23.202001221160458,,,,,,,,,,,,,,,,,,
,,,,,,,Asuncion,5.884332376202449,13.52132559595325,10.620178398133142,5.69494673024284,12.050751323817012,79.56397397344259,6.602407753298581,0.9999999999797734,0.9999999999797734,0.488295892769167,-0.5478834950522656,True,,,,,
,,,,,,,Concepcion,-1.3008178826059986,13.52132559595325,10.620178398133142,10.905539325984375,15.222318391058753,-17.5887821317542,-1.1554601395070974,0.12395102333577046,0.12395102333577046,-0.08545464949478851,0.07590566100534256,False,,,,,
,,,,,,,San Pedro,0.22840977537425494,13.52132559595325,10.620178398133142,10.905539325984375,15.222318391058753,3.088402942133846,0.20288650275163764,0.5803881279344179,0.5803881279344179,0.015004926943875889,-0.013328226196530523,False,,,,,
,,,,,,,Cordillera,-0.3215502883179561,13.52132559595325,10.620178398133142,15.360889861948799,18.67471891512949,-4.347786143819728,-0.23281668460869473,0.40795187822602164,0.40795187822602164,-0.01721848075889642,0.012466944518242587,False,,,,,
,,,,,,,Guaira,1.9264574561334507,13.52132559595325,10.620178398133142,6.944836879432623,12.689324193592867,26.04825851113221,2.0527695654812397,0.979952534222362,0.979952534222362,0.15181718322762716,-0.16177138625851567,False,,,,,
,,,,,,,Caaguazu,0.05662083056281847,13.52132559595325,10.620178398133142,5.69494673024284,12.050751323817012,0.7655886855531695,0.0635303695994511,0.5253279116806212,0.5253279116806212,0.0046985311572161894,-0.005271901136478534,False,,,,,
,,,,,,,Caazapa,3.8974781145029205,13.52132559595325,10.620178398133142,8.101886837561427,13.357722842491714,52.69907058929595,3.9452136573501178,0.9999601355719392,0.9999601355719392,0.29177713600291283,-0.29535076478755473,True,,,,,
,,,,,,,Itapua,0.5441929169464418,13.52132559595325,10.620178398133142,10.905539325984375,15.222318391058753,7.358209617044385,0.4833829793867951,0.6855880843977227,0.6855880843977227,0.03574967379910333,-0.03175488562049283,False,,,,,
,,,,,,,Misiones,2.7946078400559626,13.52132559595325,10.620178398133142,10.905539325984375,15.222318391058753,37.786802518400314,2.482329008477147,0.9934736651935655,0.9934736651935655,0.18358621651859894,-0.163071678354541,False,,,,,
,,,,,,,Paraguari,3.923329805811173,13.52132559595325,10.620178398133142,11.591341510190375,15.720921958143432,53.04861972468091,3.374396225992442,0.9996301109874854,0.9996301109874854,0.24956105095216058,-0.21464365989327402,True,,,,,
,,,,,,,Alto Parana,-0.7599663846069288,13.52132559595325,10.620178398133142,10.905539325984375,15.222318391058753,-10.275752928249718,-0.6750451977331826,0.2498235248541419,0.2498235248541419,-0.04992448358282375,0.044345754726145326,False,,,,,
,,,,,,,Central,-0.8260282623950991,13.52132559595325,10.620178398133142,10.905539325984375,15.222318391058753,-11.16899708730364,-0.7337251002359837,0.23155814875398129,0.23155814875398129,-0.05426428755295839,0.04820061447847243,False,,,,,
,,,,,,,Neembucu,5.285798536643173,13.52132559595325,10.620178398133142,10.905539325984375,15.222318391058753,71.47100304856558,4.695145720414443,0.9999986679163273,0.9999986679163273,0.34724004588866914,-0.3084382811998116,True,,,,,
,,,,,,,Amambay,1.715378279848616,13.52132559595325,10.620178398133142,10.905539325984375,15.222318391058753,23.194188242059347,1.523696170728047,0.9362076867597471,0.9362076867597471,0.11268837215073563,-0.10009619636014391,False,,,,,
